Month,Closing Values
Jan-50,201.79
Feb-50,203.44
Mar-50,206.05
Apr-50,213.56
May-50,223.42
Jun-50,209.11
Jul-50,209.4
Aug-50,216.87
Sep-50,226.36
Oct-50,225.01
Nov-50,227.6
Dec-50,235.42
Jan-51,248.83
Feb-51,252.05
Mar-51,248.53
Apr-51,259.13
May-51,249.65
Jun-51,242.64
Jul-51,257.86
Aug-51,270.25
Sep-51,271.16
Oct-51,262.35
Nov-51,261.27
Dec-51,269.23
Jan-52,270.69
Feb-52,260.08
Mar-52,269.46
Apr-52,257.63
May-52,262.94
Jun-52,274.26
Jul-52,279.56
Aug-52,275.04
Sep-52,270.61
Oct-52,269.23
Nov-52,283.66
Dec-52,291.9
Jan-53,289.77
Feb-53,284.27
Mar-53,279.87
Apr-53,274.75
May-53,272.28
Jun-53,268.26
Jul-53,275.38
Aug-53,261.22
Sep-53,264.04
Oct-53,275.81
Nov-53,281.37
Dec-53,280.9
Jan-54,292.39
Feb-54,294.54
Mar-54,303.51
Apr-54,319.33
May-54,327.49
Jun-54,333.53
Jul-54,347.92
Aug-54,335.8
Sep-54,360.46
Oct-54,352.14
Nov-54,386.77
Dec-54,404.39
Jan-55,408.83
Feb-55,411.87
Mar-55,409.7
Apr-55,425.65
May-55,424.86
Jun-55,451.38
Jul-55,465.85
Aug-55,468.18
Sep-55,466.62
Oct-55,454.87
Nov-55,483.26
Dec-55,488.4
Jan-56,470.74
Feb-56,483.65
Mar-56,511.79
Apr-56,516.12
May-56,478.05
Jun-56,492.78
Jul-56,517.81
Aug-56,502.04
Sep-56,475.25
Oct-56,479.85
Nov-56,472.78
Dec-56,499.47
Jan-57,479.16
Feb-57,464.62
Mar-57,474.81
Apr-57,494.36
May-57,504.93
Jun-57,503.29
Jul-57,508.52
Aug-57,484.35
Sep-57,456.3
Oct-57,441.04
Nov-57,449.87
Dec-57,435.69
Jan-58,450.02
Feb-58,439.92
Mar-58,446.76
Apr-58,455.86
May-58,462.7
Jun-58,478.18
Jul-58,502.99
Aug-58,508.63
Sep-58,532.09
Oct-58,543.22
Nov-58,557.46
Dec-58,583.65
Jan-59,593.96
Feb-59,603.5
Mar-59,601.71
Apr-59,623.75
May-59,643.79
Jun-59,643.6
Jul-59,674.88
Aug-59,664.41
Sep-59,631.68
Oct-59,646.6
Nov-59,659.18
Dec-59,679.36
Jan-60,622.62
Feb-60,630.12
Mar-60,616.59
Apr-60,601.7
May-60,625.5
Jun-60,640.62
